article,type
https://www.dailymail.co.uk/femail/article-6148625/The-one-lesson-Ive-learned-life-Heather-Watson-says-never-afraid-say-no.html,female
https://www.dailymail.co.uk/femail/article-6148933/Food-writer-SARAH-RAINEY-asks-really-make-tasty-cake-kale.html,female
https://www.dailymail.co.uk/femail/article-6149013/No-gym-required-athleisure-trend-say-heres-smash-look.html,female
https://www.dailymail.co.uk/femail/article-6150129/Mother-two-turns-160k-YEAR-house-cleaning-business.html,female
https://www.dailymail.co.uk/femail/article-6150409/Woman-receives-35-000-applications-job-looking-cat-island.html,female
https://www.dailymail.co.uk/femail/article-6150623/Psychic-Sally-Morgan-branded-insensitive-bragging-predicted-Princess-Dianas-death.html,female
https://www.dailymail.co.uk/femail/article-6150883/Queen-Maxima-Netherlands-attends-financial-workshop-Hague.html,female
https://www.dailymail.co.uk/femail/article-6150949/How-fans-finally-beat-ticket-touts.html,female
https://www.dailymail.co.uk/femail/article-6151077/Phillip-Schofield-left-hysterics-rude-gaffe-5-Gold-Rings.html,female
https://www.dailymail.co.uk/femail/article-6151313/Eugenies-catering-manager-organised-Beckhams-wedding.html,female
https://www.dailymail.co.uk/femail/article-6151393/People-reveal-ridiculous-things-believed-children-hilarious-Twitter-thread.html,female
https://www.dailymail.co.uk/femail/article-6153293/Viral-Twitter-photo-proves-parents-going-holiday-same.html,female
https://www.dailymail.co.uk/femail/article-6153427/Lawyer-reveals-spending-six-months-year-apart-husband-strengthened-relationship.html,female
https://www.dailymail.co.uk/femail/article-6153805/Mother-lost-daughter-SMA-hits-Instagrammers-using-baby-money.html,female
https://www.dailymail.co.uk/femail/article-6153867/Model-22-shares-confronting-photo-fighting-life-following-suicide-attempt.html,female
https://www.dailymail.co.uk/femail/article-6153877/App-ShopJam-helps-shoppers-slash-grocery-bills-half-save-bundles-time.html,female
https://www.dailymail.co.uk/femail/food/article-6142603/M-S-unveils-sneak-peek-festive-food-range.html,female
https://www.dailymail.co.uk/femail/food/article-6150545/Waitrose-hilariously-mocked-list-storecupboard-essentials-STUDENTS.html,female
https://www.dailymail.co.uk/femail/index.rss,female
https://www.dailymail.co.uk/money/article-6130477/Sending-child-private-school-cost-family-average-ten-times-average-salary.html,money
https://www.dailymail.co.uk/money/beatthescammers/article-6150709/How-safe-online-banking-Three-things-know.html,money
https://www.dailymail.co.uk/money/beatthescammers/article-6150835/The-tricks-stop-internet-scammers-tracks.html,money
https://www.dailymail.co.uk/money/bills/article-1591904/50-ways-save-money.html,money
https://www.dailymail.co.uk/money/buytolet/article-6063461/HMOS.html,money
https://www.dailymail.co.uk/money/buytolet/article-6138253/Government-closer-banning-rip-letting-agent-fees.html,money
https://www.dailymail.co.uk/money/cardsloans/article-6131989/Shoppers-billed-twice-Card-terminals-took-duplicate-payments-computer-glitch.html,money
https://www.dailymail.co.uk/money/cars/article-6138267/A-1979-Lada-Niva-estimated-sell-75-000-goes-just-4K.html,money
https://www.dailymail.co.uk/money/cars/article-6138841/Volkswagen-RECEIVES-compensation-dieselgate-row.html,money
https://www.dailymail.co.uk/money/cars/article-6141165/No-suspect-identified-three-quarters-vehicle-theft-cases-analysis-finds.html,money
https://www.dailymail.co.uk/money/cars/article-6143979/RAY-MASSEY-Reborn-reincarnation-series-cars-produced-Jaguar-Land-Rovers-Classic-Works.html,money
https://www.dailymail.co.uk/money/celebritymoney/article-6146281/How-inventor-Shaun-spent-98k-patents-hairbrush-got-brush-TVs-Dragons.html,money
https://www.dailymail.co.uk/money/comment/article-6129985/Paul-Pesters-TSB-tribulations-old-banks-tech-gurus-top.html,money
https://www.dailymail.co.uk/money/comment/article-6145993/JEFF-PRESTRIDGE-Isa-market-broken-despite-strong-financial-picture-thats-shameful.html,money
https://www.dailymail.co.uk/money/comment/article-6146325/HAMISH-MCRAE-Brexit-masks-deeper-problems-save-retirement-NHS-funding.html,money
https://www.dailymail.co.uk/money/comment/article-6149125/RUTH-SUNDERLAND-Brexit-lesson-MPs-ignore-looking-plight-towns-like-Redcar.html,money
https://www.dailymail.co.uk/money/comment/article-6152141/MAGGIE-PAGANO-John-Lewis-boss-Sir-Charlie-Mayfield-frank-challenges-industry-face.html,money
https://www.dailymail.co.uk/money/diyinvesting/article-1718291/Pick-best-cheapest-investment-Isa-platform.html,money
https://www.dailymail.co.uk/money/diyinvesting/article-4361360/How-invest-Isa-quickly-easily.html,money
https://www.dailymail.co.uk/money/diyinvesting/article-6131797/THE-PRUDENT-INVESTOR-fund-sold-six-months-ago-soared-10.html,money
https://www.dailymail.co.uk/money/experts/article-6132003/ASK-TONY-Halifax-making-hard-close-late-wifes-ISAs.html,money
https://www.dailymail.co.uk/money/experts/article-6146065/TONY-HETHERINGTON-Dodgy-Amazon-dealer-picks-wrong-man.html,money
https://www.dailymail.co.uk/money/howmoneyworks/article-3177112/How-money-need-save-pension.html,money
https://www.dailymail.co.uk/money/howmoneyworks/article-5921415/Our-pick-best-buy-savings-mortgage-credit-card-deals.html,money
https://www.dailymail.co.uk/money/howmoneyworks/article-6091005/What-no-deal-Brexit-plan-mean-personal-finances.html,money
https://www.dailymail.co.uk/money/investing/article-4367938/50-best-funds-investment-trusts.html,money
https://www.dailymail.co.uk/money/investing/article-6144055/INVESTMENT-EXTRA-Small-beautiful-Fundsmith-founder-Terry-Smith.html,money
https://www.dailymail.co.uk/money/investing/article-6146063/BAILLIE-GIFFORD-UK-GROWTH-Trusts-new-image-starts-pay-investors-shares-rise.html,money
https://www.dailymail.co.uk/money/investing/article-6146579/MIDAS-SHARE-TIPS-invest-PCF-Group-bank-thats-horsebox-expert.html,money
https://www.dailymail.co.uk/money/investing/article-6146607/MIDAS-SHARE-TIPS-UPDATE-Retailer-Joules-gives-investors-funds-welly.html,money
https://www.dailymail.co.uk/money/markets/article-6126481/The-Sainsburys-Asda-mega-merger-blocked-watchdog-concerns.html,money
https://www.dailymail.co.uk/money/markets/article-6140027/Experts-warn-millions-workers-sleepwalking-poverty-retirement.html,money
https://www.dailymail.co.uk/money/markets/article-6144131/JP-Morgan-warns-financial-crisis-triggered-robot-trading-systems-malfunction.html,money
https://www.dailymail.co.uk/money/markets/article-6144137/SHARE-PUNT-WEEK-Compare-looking-expand-outside-traditional-insurance-stronghold.html,money
https://www.dailymail.co.uk/money/markets/article-6146289/Scandal-hit-Telit-Communications-targeted-1bn-internet-merger-Sierra-Wireless.html,money
https://www.dailymail.co.uk/money/markets/article-6146291/A-hot-summer-rings-cheer-pub-chain-Wetherspoon-profits-set-forecast-108-1m.html,money
https://www.dailymail.co.uk/money/markets/article-6146293/Chief-dressmaker-Temperley-quits-difficult-family-reasons.html,money
https://www.dailymail.co.uk/money/markets/article-6146295/Mobile-phone-network-Giffgaffs-Gaffer-poached-run-tradesman-search-website-Checkatrade.html,money
https://www.dailymail.co.uk/money/markets/article-6146321/Lord-Ashcroft-bets-2-7m-make-wine-sparkle-hot-summer-paves-way-bumper-crop.html,money
https://www.dailymail.co.uk/money/markets/article-6146323/Peppa-Pig-TV-firm-faces-SECOND-shareholder-revolt-bosss-62-pay-rise-just-3-years.html,money
